epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
19,2020-05-06,34,PE,Paulista,2610707,city,585,176.32485,0,34,0,0.0581,331774,False,True
19,2020-05-05,33,PE,Paulista,2610707,city,585,176.32485,0,34,0,0.0581,331774,True,False
19,2020-05-04,32,PE,Paulista,2610707,city,585,176.32485,21,34,2,0.0581,331774,False,False
19,2020-05-03,31,PE,Paulista,2610707,city,564,169.99524,37,32,2,0.0567,331774,False,False
18,2020-05-02,30,PE,Paulista,2610707,city,527,158.84307,43,30,1,0.0569,331774,False,False
18,2020-05-01,29,PE,Paulista,2610707,city,484,145.88244,39,29,1,0.0599,331774,False,False
18,2020-04-30,28,PE,Paulista,2610707,city,445,134.12745,50,28,2,0.0629,331774,False,False
18,2020-04-29,27,PE,Paulista,2610707,city,395,119.05695,27,26,0,0.0658,331774,False,False
18,2020-04-28,26,PE,Paulista,2610707,city,368,110.91888,31,26,5,0.0707,331774,False,False
18,2020-04-27,25,PE,Paulista,2610707,city,337,101.57517,26,21,1,0.0623,331774,False,False
18,2020-04-26,24,PE,Paulista,2610707,city,311,93.73851,101,20,2,0.0643,331774,False,False
17,2020-04-25,23,PE,Paulista,2610707,city,210,63.2961,17,18,4,0.0857,331774,False,False
17,2020-04-24,22,PE,Paulista,2610707,city,193,58.17213,-15,14,3,0.0725,331774,False,False
17,2020-04-23,21,PE,Paulista,2610707,city,208,62.69328,24,11,0,0.0529,331774,False,False
17,2020-04-22,20,PE,Paulista,2610707,city,184,55.45944,20,11,4,0.0598,331774,False,False
17,2020-04-21,19,PE,Paulista,2610707,city,164,49.43124,11,7,1,0.0427,331774,False,False
17,2020-04-20,18,PE,Paulista,2610707,city,153,46.11573,10,6,1,0.0392,331774,False,False
17,2020-04-19,17,PE,Paulista,2610707,city,143,43.10163,13,5,0,0.035,331774,False,False
16,2020-04-18,16,PE,Paulista,2610707,city,130,39.1833,8,5,1,0.0385,331774,False,False
16,2020-04-17,15,PE,Paulista,2610707,city,122,36.77202,24,4,0,0.0328,331774,False,False
16,2020-04-16,14,PE,Paulista,2610707,city,98,29.53818,15,4,0,0.0408,331774,False,False
16,2020-04-15,13,PE,Paulista,2610707,city,83,25.01703,8,4,2,0.0482,331774,False,False
16,2020-04-14,12,PE,Paulista,2610707,city,75,22.60575,8,2,0,0.0267,331774,False,False
16,2020-04-13,11,PE,Paulista,2610707,city,67,20.19447,20,2,2,0.0299,331774,False,False
16,2020-04-12,10,PE,Paulista,2610707,city,47,14.16627,7,0,0,0.0,331774,False,False
15,2020-04-11,9,PE,Paulista,2610707,city,40,12.0564,6,0,0,0.0,331774,False,False
15,2020-04-10,8,PE,Paulista,2610707,city,34,10.24794,11,0,0,0.0,331774,False,False
15,2020-04-09,7,PE,Paulista,2610707,city,23,6.93243,14,0,0,0.0,331774,False,False
15,2020-04-08,6,PE,Paulista,2610707,city,9,2.71269,1,0,0,0.0,331774,False,False
15,2020-04-07,5,PE,Paulista,2610707,city,8,2.41128,3,0,0,0.0,331774,False,False
15,2020-04-06,4,PE,Paulista,2610707,city,5,1.50705,0,0,0,0.0,331774,False,False
15,2020-04-05,3,PE,Paulista,2610707,city,5,1.50705,2,0,0,0.0,331774,False,False
14,2020-04-04,2,PE,Paulista,2610707,city,3,0.90423,0,0,0,0.0,331774,False,False
14,2020-04-03,1,PE,Paulista,2610707,city,3,0.90423,3,0,0,0.0,331774,False,False
